Index,Geography,Place,Demonym,Suffix
149,Brazil,Acre,Acrean,an
150,Brazil,Bahia,Bahian,n
151,Canada,Alberta,Albertan,n
152,Canada,British Columbia,British Columbian,n
153,Canada,Manitoba,Manitoban,n
154,Canada,New Brunswick,New Brunswick,
155,Canada,Newfoundland and Labrador,Newfoundland and Labrador,
156,Canada,Nova Scotia,Nova Scotian,n
157,Canada,Nunavut,Nunavut,
158,Canada,Ontario,Ontario,
159,Canada,Prince Edward Island,Prince Edward Island,
160,Canada,Quebec,Quebec,
161,Canada,Saskatchewan,Saskatchewan,
162,Canada,Yukon,Yukon,
163,Germany,Bavaria,Bavarian,n
164,Germany,Berlin,Berliner,er
165,Germany,Brandenburg,Brandenburgish,ish
166,Germany,Franconia,Franconian,n
167,Germany,Hamburg,Hamburgish,ish
168,Germany,Mecklenburg,Mecklenburgish,ish
169,Germany,Westphalia,Westphalian,n
170,Germany,Pomerania,Pomeranian,n
171,Germany,Prussia,Prussian,n
172,Germany,Silesia,Silesian,n
173,Germany,Swabia,Swabian,n
174,Germany,Thuringia,Thuringian,n
175,India,Andaman,Andamanese,ese
176,India,Assam,Assamese,ese
177,India,Bihar,Bihari,i
178,India,Chandigarh,Chandigarhi,i
179,India,Chhattisgarh,Chhattisgarhi,i
180,India,Dadra,Dadran,n
181,India,Nagar Haveli,Nagar Havelian,an
182,India,Daman,Damanese,ese
183,India,Diu,Diuese,ese
184,India,Delhi,Delhiite,ite
185,India,Goa,Goan,n
186,India,Gujarat,Gujarati,i
187,India,Jammu,Jammu,
188,India,Jharkhand,Jharkhandi,i
189,India,Karnataka,Karnatakan,n
190,India,Ladakh,Ladakhi,i
191,India,Madhya Pradesh,Madhya Pradeshi,i
192,India,Manipur,Manipuri,i
193,India,Meghalaya,Meghalayan,n
194,India,Nagaland,Naga,Naga
195,India,Odisha,Odishan,n
196,India,Punjab,Punjabi,i
197,India,Rajasthan,Rajasthani,i
198,India,Sikkim,Sikkimese,ese
199,India,Uttar Pradesh,Uttar Pradeshi,i
200,India,Uttarakhand,Uttarakhandi,i
201,India,West Bengal,West Bengali,i
202,Bangladesh,Barisal,Barisali,i
203,Bangladesh,Dhaka,Dhakai,i
204,Bangladesh,Khulna,Khulnaiya,iya
205,Bangladesh,Mymensingh,Mymensinghiya,iya
206,Bangladesh,Rajshahi,Rajshahiya,ya
207,Bangladesh,Rangpur,Rangpuri,i
208,Bangladesh,Sylhet,Sylheti,i
209,Malaysia,Johor,Johorean,ean
210,Malaysia,Kedah,Kedahan,an
211,Malaysia,Kelantan,Kelantanese,ese
212,Malaysia,Kuala Lumpur,Kuala Lumpurian,ian
213,Malaysia,Labuan,Labuanese,ese
214,Malaysia,Malacca,Malaccan,n
215,Malaysia,Negeri Sembilan,Negeri Sembilanese,ese
216,Malaysia,Pahang,Pahangite,ite
217,Malaysia,Penang,Penangite,ite
218,Malaysia,Perak,Perakian,ian
219,Malaysia,Perlis,Perlisian,ian
220,Malaysia,Putrajaya,Putrajayan,n
221,Malaysia,Sabah,Sabahan,an
222,Malaysia,Sarawak,Sarawakian,ian
223,Malaysia,Selangor,Selangorean,ean
224,Malaysia,Terengganu,Terengganuan,an
225,Malaysia,West Malaysia,West Malaysian,n
226,Malaysia,East Malaysia,East Malaysian,n
227,Mexico,Chihuahua,Chihuahuan,n
228,Mexico,Durango,Durangolese,lese
229,Mexico,Hidalgo,Hidalgolese,lese
230,Mexico,Nayarit,Nayarita,a
231,Mexico,Oaxaca,Oaxacan,n
232,Mexico,Sinaloa,Sinaloan,n
233,Mexico,Sonora,Sonoran,n
234,Mexico,Veracruz,Veracruzan,an
235,US,Acarnania,Acarnanian,n
236,US,Achaea,Achaean,n
237,US,Aethaea,Aethaean,n
238,US,Aetolia,Aetolian,n
239,US,Andalusia,Andalusian,n
240,US,Apulia,Apulian,n
241,US,Aquitania,Aquitanian,n
242,US,Arcadia,Arcadian,n
243,US,Bactria,Bactrian,n
244,US,Bavaria,Bavarian,n
245,US,Boeotia,Boeotian,n
246,US,Calabria,Calabrian,n
247,US,Campania,Campanian,n
248,US,Cantabria,Cantabrian,n
249,US,Caria,Carian,n
250,US,Cephalonia,Cephalonian,n
251,US,Consentia,Consentian,n
252,US,Corsica,Corsican,n
253,US,Croton,Crotonian,ian
254,US,Dacia,Dacian,n
255,US,Dalmatia,Dalmatian,n
256,US,Edonia,Edonian,n
257,US,Egesta,Egestan,n
258,US,Eretria,Eretrian,n
259,US,Etruria,Etrurian,n
260,US,Euboea,Euboean,n
261,US,Galatia,Galatian,n
262,US,Iberia,Iberian,n
263,US,Illyria,Illyrian,n
264,US,Ionia,Ionian,n
265,US,Kaulonia,Kaulonian,n
266,US,Lakedaimonia,Lakedaimonian,n
267,US,Larissa,Larissan,n
268,US,Leontini,Leontinian,an
269,US,Lucania,Lucanian,n
270,US,Lydia,Lydian,n
271,US,Macedonia,Macedonian,n
272,US,Maeonia,Maeonian,n
273,US,Marathon,Marathonian,ian
274,US,Media,Median,n
275,US,Mesopotamia,Mesopotamian,n
276,US,Messenia,Messenian,n
277,US,Moravia,Moravian,n
278,US,Mycenae,Mycenaean,an
279,US,Mytilene,Mytilenean,an
280,US,Oea,Oean,n
281,US,Olympia,Olympian,n
282,US,Paeonia,Paeonian,n
283,US,Pamphylia,Pamphylian,n
284,US,Persia,Persian,n
285,US,Philippi,Philippian,an
286,US,Phoenicia,Phoenician,n
287,US,Phrygia,Phrygian,n
288,US,Pisidia,Pisidian,n
289,US,Pylos,Pylosian,ian
290,US,Sardinia,Sardinian,n
291,US,Sarmatia,Sarmatian,n
292,US,Serica,Sere,Sere
293,US,Sicyon,Sicyonian,ian
294,US,Sidon,Sidonian,ian
295,US,Silesia,Silesian,n
296,US,Sparta,Spartan,n
297,US,Symi,Symian,an
298,US,Tegea,Tegean,n
299,US,Thria,Thriasian,sian
300,US,Thuria,Thuriat,t
301,US,Thynia,Thynian,n
302,US,Troezen,Troezenian,ian
303,US,Umbria,Umbrian,n
304,US,Xanthi,Xanthian,an
305,Others,Andor,Andorian,ian
306,Others,Blefuscu,Blefuscudian,dian
307,Others,Borduria,Bordurian,n
308,Others,Brobdingnag,Brobdingnagian,ian
309,Others,Lilliput,Lilliputian,ian
310,Others,Cardassia,Cardassian,n
311,Others,Bajor,Bajoran,an
312,Others,Gallifrey,Gallifreyan,an
313,Others,Genosha,Genoshan,n
314,Others,Islandia,Islandian,n
315,Others,Krypton,Kryptonian,ian
316,Others,Latveria,Latverian,n
317,Others,Narnia,Narnian,n
318,Others,Numenor,Numenorean,ean
319,Others,Daedric,Daedric,
320,Others,Oz,Ozian,ian
321,Others,Skaro,Skaroene,ene
322,Others,Sontar,Sontaran,an
323,Others,Syldavia,Syldavian,n
324,Others,Utopia,Utopian,n
325,Others,Wakanda,Wakandan,n
326,Others,Westeros,Westerosi,i
327,Others,Vulcan,Vulcan,
328,City,Aarhus,Aarhusian,ian
329,City,Abidjan,Abidjanais,ais
330,City,Adelaide,Adelaidean,an
331,City,Addis,Addis,
332,City,Aix,Aixois,ois
333,City,Albuquerque,Albuquerquean,an
334,City,Amalfi,Amalfitan,tan
335,City,Amman,Ammani,i
336,City,Ammon,Ammonite,ite
337,City,Amsterdam,Amsterdammer,mer
338,City,Anchorage,Anchorageite,ite
339,City,Andong,Andong,
340,City,Antakya,Antakyan,n
341,City,Antalya,Antalyan,n
342,City,Aosta,Aostan,n
343,City,Aqaba,Aqabawi,wi
344,City,Arlington,Arlingtonian,ian
345,City,Ashdod,Ashdodi,i
346,City,Ashkelon,Ashkelonian,ian
347,City,Asmara,Asmaran,n
348,City,Atlanta,Atlantan,n
349,City,Auckland,Auckland,
350,City,Bacolod,Bacolodnon,non
351,City,Baku,Bakuvian,vian
352,City,Baltimore,Baltimorean,an
353,City,Bandung,Bandungite,ite
354,City,Bangalore,Bangalorean,an
355,City,Bangkok,Bangkokian,ian
356,City,Barisal,Barisali,i
357,City,Baton,Baton,
358,City,Bedford,Bedfordian,ian
359,City,Beersheba,Beersheban,n
360,City,Beijing,Beijingese,ese
361,City,Beirut,Beiruti,i
362,City,Belfast,Belfast,
363,City,Bergen,Bergener,er
364,City,Berlin,Berliner,er
365,City,Bern,Bernese,ese
366,City,Bhopal,Bhopali,i
367,City,Birmingham,Birminghamian,ian
368,City,Blackburn,Blackburnian,ian
369,City,Bnei,Bnei,
370,City,Bodrum,Bodrumian,ian
371,City,Boise,Boisean,an
372,City,Bolton,Boltonian,ian
373,City,Bossangoa,Bossangoan,n
374,City,Boston,Bostonian,ian
375,City,Bradford,Bradfordian,ian
376,City,Bratislava,Bratislavan,n
377,City,Brescia,Brescian,n
378,City,Brighton,Brightonian,ian
379,City,Bristol,Bristolian,ian
380,City,Brooklyn,Brooklynite,ite
381,City,Bucharest,Bucharestian,ian
382,City,Budapest,Budapestian,ian
383,City,Buffalo,Buffalonian,nian
384,City,Burlington,Burlingtonian,ian
385,City,Bursa,Bursanese,nese
386,City,Busan,Busan,
387,City,Calais,Calais,
388,City,Cagayan,Cagayanon,on
389,City,Cairns,Cairnsite,ite
390,City,Canberra,Canberran,n
391,City,Cardiff,Cardiffian,ian
392,City,Carson,Carsonite,ite
393,City,Casper,Casperite,ite
394,City,Castlecrag,Castlecragian,ian
395,City,Cebu,Cebuano,ano
396,City,Changwon,Changwon,
397,City,Charleston,Charlestonian,ian
398,City,Charlotte,Charlottean,an
399,City,Chelmsford,Chelmsfordian,ian
400,City,Chennai,Chennaite,te
401,City,Cheyenne,Cheyenneite,ite
402,City,Chicago,Chicagoan,an
403,City,Chilliwack,Chilliwackian,ian
404,City,Cincinnati,Cincinnatian,an
405,City,Cleveland,Clevelander,er
406,City,Coimbatore,Coimbatoreian,ian
407,City,Colchester,Colchester,
408,City,Columbus,Columbusite,ite
409,City,Copenhagen,Copenhagener,er
410,City,Corinth,Corinthian,ian
411,City,Cork,Cork,
412,City,Cusco,Cusco,
413,City,Curitiba,Curitibano,no
414,City,Daegu,Daegu,
415,City,Dalaman,Dalamanian,ian
416,City,Dallas,Dallasite,ite
417,City,Darwin,Darwinian,ian
418,City,Delhi,Delhiite,ite
419,City,Denizli,Denizlian,an
420,City,Denver,Denver,
421,City,Derry,Derry,
422,City,Detroit,Detroiter,er
423,City,Devonport,Devonportian,ian
424,City,Dhaka,Dhakai,i
425,City,Dresden,Dresdener,er
426,City,Dublin,Dublin,
427,City,Dubai,Dubaite,te
428,City,Duluth,Duluthian,ian
429,City,Dunedin,Dunedin,
430,City,Durango,Durangoan,an
431,City,Durban,Durban,
432,City,East,East,
433,City,Edmonton,Edmontonian,ian
434,City,Eilat,Eilatian,ian
435,City,El,El,
436,City,Erzurum,Erzurumian,ian
437,City,Eugene,Eugenean,an
438,City,Everett,Everettite,ite
439,City,Fargo,Fargoan,an
440,City,Frankfurt,Frankfurter,er
441,City,Fredericton,Frederictonian,ian
442,City,Galway,Galway,
443,City,Gaza,Gazan,n
444,City,Gibraltar,Gibraltarian,ian
445,City,Geelong,Geelong,
446,City,Geneva,Genevan,n
447,City,Germiston,Germistonian,ian
448,City,Ghent,Ghentian,ian
449,City,Gold,Gold,
450,City,Gosford,Gosford,
451,City,Gothenburg,Gothenburger,er
452,City,Grand,Grand,
453,City,Graz,Grazer,er
454,City,Guayaquil,Guayaquilean,ean
455,City,Guelph,Guelphite,ite
456,City,Gumi,Gumi,
457,City,Gwangju,Gwangju,
458,City,Gyeongju,Gyeongju,
459,City,Haifa,Haifan,n
460,City,Hamburg,Hamburgian,ian
461,City,Hamilton,Hamiltonian,ian
462,City,Hanoi,Hanoian,an
463,City,Hanover,Hanoverian,ian
464,City,Harbin,Harbinite,ite
465,City,Harrisburg,Harrisburger,er
466,City,Hatay,Hatayan,an
467,City,Helsinki,Helsinkian,an
468,City,Hobart,Hobartian,ian
469,City,Holon,Holonian,ian
470,City,Hong,Hong,
471,City,Houston,Houstonian,ian
472,City,Hyderabad,Hyderabadi,i
473,City,Incheon,Incheon,
474,City,Invercargill,Invercargill,
475,City,Inverness,Invernessian,ian
476,City,Ipoh,Ipohian,ian
477,City,Islamabad,Islamabadi,i
478,City,Itabira,Itabirano,no
479,City,Istanbul,Istanbulite,ite
480,City,Ithaca,Ithacan,n
481,City,Izmir,Izmirite,ite
482,City,Izmit,Izmitite,ite
483,City,Jakarta,Jakartan,n
484,City,Jeonju,Jeonju,
485,City,Jerusalem,Jerusalemite,ite
486,City,Johannesburg,Johannesburg,
487,City,Joshua,Joshuan,n
488,City,Juba,Juban,n
489,City,Kansas,Kansas,
490,City,Karachi,Karachiite,ite
491,City,Karpasia,Karpasias,s
492,City,Kastoria,Kastorian,n
493,City,Kayseri,Kayserian,an
494,City,Kenosha,Kenoshan,n
495,City,Khulna,Khulna,
496,City,Kingston,Kingstonian,ian
497,City,Kitchener,Kitchenerite,ite
498,City,Konya,Konyanite,nite
499,City,Kuching,Kuchingite,ite
500,City,Kyiv,Kyivan,an
501,City,Lagos,Lagosian,ian
502,City,Larnaka,Larnakade,de
503,City,Las,Las,
504,City,Laval,Lavalois,ois
505,City,Leipzig,Leipziger,er
506,City,Lexington,Lexingtonian,ian
507,City,Liberal,Liberalite,ite
508,City,Limerick,Limerick,
509,City,Linz,Linzer,er
510,City,London,Londoner,er
511,City,Los,Los,
512,City,Luanda,Luandan,n
513,City,Luton,Lutonian,ian
514,City,Lviv,Lvivite,ite
515,City,Lyon,Lyonese,ese
516,City,Mackay,Mackayite,ite
517,City,Malacca,Malaccan,n
518,City,Malatya,Malatyan,n
519,City,Manisa,Manisanian,nian
520,City,Mantua,Mantuan,n
521,City,Marathon,Marathonian,ian
522,City,Mardin,Mardinian,ian
523,City,Marmaris,Marmarisian,ian
524,City,Marshall,Marshall,
525,City,Mersin,Mersinite,ite
526,City,Mecca,Meccan,n
527,City,Medina,Medinan,n
528,City,Miami,Miamian,an
529,City,Milan,Milanese,ese
530,City,Milwaukee,Milwaukeean,an
531,City,Minsk,Minskite,ite
532,City,Misrata,Misratan,n
533,City,Minot,Minotian,ian
534,City,Mississauga,Mississaugan,n
535,City,Monrovia,Monrovian,n
536,City,Montreal,Montrealer,er
537,City,Moose,Moose,
538,City,Moscow,Moscowite,ite
539,City,Mumbai,Mumbaikar,kar
540,City,Mymensingh,Mymensinghi,i
541,City,Mysore,Mysorean,an
542,City,Nagoya,Nagoyan,n
543,City,Nairobi,Nairobian,an
544,City,Nanaimo,Nanaimoite,ite
545,City,Napier,Napieran,an
546,City,Nelson,Nelson,
547,City,Netanya,Netanyan,n
548,City,New,New,
549,City,Nicosia,Nicosian,n
550,City,Norfolk,Norfolker,er
551,City,Northampton,Northamptonian,ian
552,City,Nuremberg,Nuremberger,er
553,City,Oakbank,Oakbankian,ian
554,City,Oakland,Oaklander,er
555,City,Oamaru,Oamaru,
556,City,Oaxaca,Oaxacan,n
557,City,Odesa,Odesan,n
558,City,Oklahoma,Oklahoma,
559,City,Omaha,Omahan,n
560,City,Omak,Omakian,ian
561,City,Ordu,Ordunite,nite
562,City,Osaka,Osakan,n
563,City,Oslo,Oslovian,vian
564,City,Ottawa,Ottawan,n
565,City,Paddock,Paddock,
566,City,Padua,Paduan,n
567,City,Paducah,Paducahan,an
568,City,Palmerston,Palmerstonian,ian
569,City,Paris,Parisian,ian
570,City,Penang,Penangite,ite
571,City,Perth,Perthite,ite
572,City,Perugia,Perugian,n
573,City,Philadelphia,Philadelphian,n
574,City,Phnom,Phnom,
575,City,Pissouri,Pissouriti,ti
576,City,Pisa,Pisan,n
577,City,Pittsburgh,Pittsburgher,er
578,City,Pohang,Pohang,
579,City,Port,Port,
580,City,Portland,Portlander,er
581,City,Portsmouth,Portsmouthian,ian
582,City,Prague,Praguer,r
583,City,Preston,Prestonian,ian
584,City,Pripyat,Pripyatin,in
585,City,Provo,Provoan,an
586,City,Quito,Quitonian,nian
587,City,Rajshahi,Rajshahiyo,yo
588,City,Radnor,Radnorian,ian
589,City,Raleigh,Raleighite,ite
590,City,Randall,Randallite,ite
591,City,Rangpur,Rangpuri,i
592,City,Reading,Readingite,ite
593,City,Red,Red,
594,City,Regina,Regina,
595,City,Reno,Renoite,ite
596,City,Ribeirao,Ribeirao,
597,City,Richmond,Richmonder,er
598,City,Riga,Rigan,n
599,City,Roanoke,Roanoker,r
600,City,Rochester,Rochesterian,ian
601,City,Rockhampton,Rockhampton,
602,City,Rotorua,Rotoruan,n
603,City,Rouen,Rouennais,nais
604,City,Rye,Ryer,r
605,City,Saint,Saint,
606,City,Salem,Salemite,ite
607,City,Salford,Salfordian,ian
608,City,Salt,Salt,
609,City,Salzburg,Salzburger,er
610,City,Sambalpur,Sambalpuria,ia
611,City,Samsun,Samsunite,ite
612,City,San,San,
613,City,Santa,Santa,
614,City,Saskatoon,Saskatoon,
615,City,Seattle,Seattleite,ite
616,City,Seoul,Seoulite,ite
617,City,Serra,Serrano,no
618,City,Shanghai,Shanghainese,nese
619,City,Side,Sidetan,tan
620,City,Silver,Silver,
621,City,Singapore,Singaporean,an
622,City,Sofia,Sofian,n
623,City,Somers,Somersite,ite
624,City,Sparta,Spartan,n
625,City,Springfield,Springfieldian,ian
626,City,St.,St.,
627,City,Stockholm,Stockholmer,er
628,City,Stuttgart,Stuttgarter,er
629,City,Sunshine,Sunshine,
630,City,Swindon,Swindonian,ian
631,City,Sylhet,Sylheti,i
632,City,Tacoma,Tacoman,n
633,City,Tallahassee,Tallahasseean,an
634,City,Tallinn,Tallinner,er
635,City,Tampa,Tampan,n
636,City,Tartu,Tartuan,an
637,City,Taunton,Tauntonian,ian
638,City,Tauranga,Taurangan,n
639,City,Tbilisi,Tbilisian,an
640,City,Tehran,Tehrani,i
641,City,Tel,Tel,
642,City,Timaru,Timaru,
643,City,Tirana,Tiranas,s
644,City,Toowoomba,Toowoomban,n
645,City,Toronto,Torontonian,nian
646,City,Tournai,Tournaisian,sian
647,City,Trabzon,Trabzonian,ian
648,City,Traverse,Traverse,
649,City,Trevor,Trevorite,ite
650,City,Tripoli,Tripolitan,tan
651,City,Tripoli,Tripolitano,tano
652,City,Tucson,Tucsonian,ian
653,City,Tulsa,Tulsan,n
654,City,Turin,Turinese,ese
655,City,Twin,Twin,
656,City,Ulsan,Ulsan,
657,City,Valencia,Valencian,n
658,City,Van,Vanian,ian
659,City,Vancouver,Vancouverite,ite
660,City,Veracruz,Veracruzano,ano
661,City,Victoria,Victorian,n
662,City,Villanova,Villanovan,n
663,City,Ville,Ville,
664,City,Vizag,Vizagite,ite
665,City,Waco,Wacoite,ite
666,City,Warangal,Warangalite,ite
667,City,Washington,Washingtonian,ian
668,City,Waterford,Waterfordian,ian
669,City,Wellington,Wellington,
670,City,Wheatland,Wheatlander,er
671,City,Whitehorse,Whitehorser,r
672,City,Wichita,Wichitan,n
673,City,Wilmot,Wilmotter,ter
674,City,Xanthi,Xanthian,an
675,City,Yellowknife,Yellowknifer,r
676,City,Yeosu,Yeosu,
677,City,Yerevan,Yerevantsi,tsi
678,City,Yogyakarta,Yogyakartan,n
679,City,Yokohama,Yokohaman,n
680,City,Zagreb,Zagrebian,ian
681,City,Zaragoza,Zaragozan,n
682,City,Zonguldak,Zonguldaki,i
683,City,Zintan,Zintani,i
684,City,Zurich,Zuricher,er
685,City,Zwolle,Zwollenaar,naar
686,Extra,Abkhazia,Abkhazian,n
687,Extra,Alaska,Alaskan,n
688,Extra,Alberta,Albertan,n
689,Extra,Andalusia,Andalusian,n
690,Extra,Arizona,Arizonan,n
691,Extra,Bavaria,Bavarian,n
692,Extra,Bohemia,Bohemian,n
693,Extra,British Columbia,British Columbian,n
694,Extra,California,Californian,n
695,Extra,Carinthia,Carinthian,n
696,Extra,Corsica,Corsican,n
697,Extra,Crimea,Crimean,n
698,Extra,Cumbria,Cumbrian,n
699,Extra,Dalmatia,Dalmatian,n
700,Extra,Delaware,Delawarean,an
701,Extra,Extremadura,Extremaduran,n
702,Extra,Florida,Floridan,n
703,Extra,Galicia,Galician,n
704,Extra,Georgia,Georgian,n
705,Extra,Idaho,Idahoan,an
706,Extra,Illinois,Illinoisan,an
707,Extra,Iowa,Iowan,n
708,Extra,Jakarta,Jakartan,n
709,Extra,Java,Javan,n
710,Extra,Johor,Johorean,ean
711,Extra,Judea,Judean,n
712,Extra,Karelia,Karelian,n
713,Extra,Kedah,Kedahan,an
714,Extra,Liguria,Ligurian,n
715,Extra,Louisiana,Louisianan,n
716,Extra,Madeira,Madeiran,n
717,Extra,Malacca,Malaccan,n
718,Extra,Majorca,Majorcan,n
719,Extra,Manitoba,Manitoban,n
720,Extra,Maryland,Marylander,er
721,Extra,Masuria,Masurian,n
722,Extra,Menorca,Menorcan,n
723,Extra,Minnesota,Minnesotan,n
724,Extra,Mississippi,Mississippian,an
725,Extra,Missouri,Missourian,an
726,Extra,Montana,Montanan,n
727,Extra,Moravia,Moravian,n
728,Extra,Nebraska,Nebraskan,n
729,Extra,Nevada,Nevadan,n
730,Extra,New Jersey,New Jerseyan,an
731,Extra,North Dakota,North Dakotan,n
732,Extra,Nova Scotia,Nova Scotian,n
733,Extra,Ohio,Ohioan,an
734,Extra,Oklahoma,Oklahoman,n
735,Extra,Oregon,Oregonian,ian
736,Extra,Papua,Papuan,n
737,Extra,Patagonia,Patagonian,n
738,Extra,Pennsylvania,Pennsylvanian,n
739,Extra,Pomerania,Pomeranian,n
740,Extra,Samogitia,Samogitian,n
741,Extra,Sabah,Sabahan,an
742,Extra,Sardinia,Sardinian,n
743,Extra,Saskatchewan,Saskatchewanian,ian
744,Extra,Silesia,Silesian,n
745,Extra,Slavonia,Slavonian,n
746,Extra,South Australia,South Australian,n
747,Extra,South Dakota,South Dakotan,n
748,Extra,Styria,Styrian,n
749,Extra,Sumatra,Sumatran,n
750,Extra,Sumba,Sumban,n
751,Extra,Sumbawa,Sumbawan,n
752,Extra,Syrmia,Syrmian,n
753,Extra,Tahiti,Tahitian,an
754,Extra,Taranaki,Taranakian,an
755,Extra,Tasmania,Tasmanian,n
756,Extra,Thuringia,Thuringian,n
757,Extra,Transnistria,Transnistrian,n
758,Extra,Transylvania,Transylvanian,n
759,Extra,Umbria,Umbrian,n
760,Extra,Utah,Utahn,n
761,Extra,Victoria,Victorian,n
